url,count
https://www.google.co.uk/amp/s/www.standard.co.uk/news/uk/teachers-ppe-schools-return-coronavirus-lockdown-robert-jenrick-a4434271.html%3famp,1
https://www.glasgowtimes.co.uk/news/18431287.glasgow-teacher-says-schools-unlikely-open-full-time/,1
https://www.theguardian.com/education/2020/may/05/headteachers-call-for-kinder-school-system-coronavirus-michael-gove,1
https://www.theguardian.com/education/2020/apr/29/coronavirus-schools-across-england-reopen-phases-education-secretary-gavin-williamson?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1588171465,1
https://www.facebook.com/events/552599022302448,1
https://www.hants.gov.uk/News/160420HC3Smeals,1
https://www.examinerlive.co.uk/news/local-news/live-coronavirus-covid-uk-yorkshire-18149377,1
https://www.theguardian.com/politics/live/2020/may/05/uk-coronavirus-live-contact-tracing-app-trial-begins-on-isle-of-wight?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1588679333,1
https://www.uclan.ac.uk/schools/psychology/psychological-support-hub.php,1
https://www.cornwall.gov.uk/education-and-learning/coronavirus-advice-for-children-and-families/emotional-resilience-and-mental-health/emotional-resilience-for-parents-and-carers/,1
https://www.cnn.com/2020/05/06/health/schools-reopening-coronavirus-children-wellness-intl/index.html,1
https://www.uea.ac.uk/about/-/new-study-reveals-blueprint-for-getting-out-of-covid-19-lockdown,1
https://www.thenational.ae/uae/education/coronavirus-uae-schools-to-be-inspected-over-e-learning-quality-1.1013830,1
https://www.cluego.co.uk/formats/go-learn-self-run/,1
https://www.childinthecity.org/2020/05/07/sending-children-back-to-school-during-coronavirus-has-human-rights-implications/,1
https://www.walesonline.co.uk/news/wales-news/coronavirus-wales-covid19-lockdown-schools-18193511,1
https://www.change.org/p/gavin-williamson-save-the-junior-school-at-italia-conti-performing-arts-stop-the-closure,1
https://www.businessinsider.com/coronavirus-whatsapp-lockdown-uk-exit-strategy-fake-2020-5?r=US&IR=T,1
https://www.gov.uk/guidance/remote-education-practice-for-schools-during-coronavirus-covid-19,1
https://www.steeleraymond.co.uk/news-insights/coronavirus-covid-19-guidance-for-independent-schools/,1
https://www.ideas.gov.scot/,1
https://www.medrxiv.org/content/10.1101/2020.05.01.20088260v1,1
https://www.thetimes.co.uk/edition/news/raab-warns-of-new-coronavirus-wave-if-schools-return-too-quickly-5hxl3n2d8?utm_medium=Social&utm_source=Facebook&fbclid=IwAR3vUYwgE_5u-3KiZqx3KBWqX9IghHCxirTf0ImPRpnMS_DeBsmp_wWuXuA#Echobox=1588775770,1
https://www.slattersportsconstruction.com/news/maintaining-activity-levels-sports-services-coronavirus-outbreak/,1
https://www.telegraph.co.uk/education-and-careers/2020/05/07/when-will-schools-reopen-uk-date/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1588839676,1
https://www.tes.com/news/2020/May/07/coronavirus-and-schools-live,1
https://www.oldmoat.manchester.sch.uk/pages/coronavirus-latest-updates,1
https://www.thetimes.co.uk/article/raab-warns-of-new-coronavirus-wave-if-schools-return-too-quickly-5hxl3n2d8,1
https://www.nytimes.com/2020/05/05/health/coronavirus-children-transmission-school.html,1
