text,n,tweet_url
Coronavirus: Reopening Scottish schools too early could 'overwhelm' NHS - BBC News ⁦@MaryBoustedNEU⁩ ⁦@cyclingkev⁩ ⁦@NEUnion⁩  https://t.co/aVkDRrzGNT,8,https://twitter.com/HertsNeu/status/1257683034314362881
Stopping mass gatherings and closing schools have been most effective measures to flatten #coronavirus curves in Europe; stay at home orders &amp; business closures much less so.  Analysis of real data by @Metadoc with @FJColon.  @EPR_HPRU @UEAResearch   https://t.co/mIVXdw9xhn,8,https://twitter.com/BrainardJulii/status/1258072765795573761
The Department for Education has launched a consultation process to identify more online education resources that it can promote to schools and parents https://t.co/C7jCqe4F7J,8,https://twitter.com/SchoolsWeek/status/1258013891952619520
"Teachers won't need PPE when schools return, says minister https://t.co/LIaXMUjqJz",7,https://twitter.com/standardnews/status/1258242678480941056
#NASUWT and nine other trade unions write to education ministers in the UK and Ireland urging significant caution on schools reopening during #Coronavirus crisis. Full text of letter here: https://t.co/Ql8YxyiSui https://t.co/4eEUnLEiaW,7,https://twitter.com/NASUWT/status/1257634137780834305
"I think the majority of the straight population would think of the coronavirus pandemic differently if they had a better understanding of the AIDS crisis. The thing is: the vast majority don't. Queers make it our duty to know this history, cos it sure ain't taught in schools!",6,https://twitter.com/SeanMcGovernX/status/1258055021452812289
"⚫️ Social distancing in schools worry
⚫️ Warning against VE Day street parties
⚫️ More than 1,000 #coronavirus deaths in Wales
Follow our #Covid19 live page:

https://t.co/4pNrC9X9ek",6,https://twitter.com/BBCWalesNews/status/1258283541567340544
"""Rouvrir les écoles trop vite pourrait provoquer une deuxième vague"". Les britanniques se préparent à un déconfinement plus prudent  que les français. #Covid19
https://t.co/DZvlthH9B0",6,https://twitter.com/arnaudcomte/status/1258158504772239362
"UCLan has launched an Online Psychological Support Hub for #frontlineworkers during #Coronavirus pandemic.  This new hub will support frontline #NHS workers, their families, care home workers and military support personnel during the crisis

https://t.co/9hWttIsKU2

(Please RT)",6,https://twitter.com/UCLanPsychology/status/1258318117945716737
Coronavirus: Schools reopen in Chinese city where pandemic began https://t.co/D6Lo1PB6E3,6,https://twitter.com/SkyNews/status/1257984729548234752
Our survey of parents on coronavirus and school closures was just mentioned on @BBCNews. We’ll be releasing statistics tomorrow. #parents #coronavirus #schoolclosures,6,https://twitter.com/Parentkind/status/1258085841894866944
"Today @Parentkind ParentKind ( used to be NCPTA) supported our five tests and wrote jointly with us to Govt.

Thank you very much ParentKind

https://t.co/pT2WUbhbJK",5,https://twitter.com/cyclingkev/status/1258070191629533186
"Nicola Sturgeon says Scottish gov't will announce when schools go back – not UK gov't https://t.co/P9OcaLNrG9

🤣🤣🤣🤣🤣🤣

Of course. The Scottish gov't have total control of Education here. Just like the NHS, Education is 100% devolved to Holyrood

Please remember that folks.",5,https://twitter.com/BRRSC/status/1256936405600808960
Trump advises teachers over 60 to not teach in-person ‘for awhile’ as he implores schools to reopen https://t.co/CpSpaTtlSO,5,https://twitter.com/Independent/status/1258298018131894272
"Official: #mufc are donating £300,000 to local schools during the coronavirus pandemic. 30 schools will receive £10,000 each #mulive",5,https://twitter.com/MUFC_Family01/status/1257630522555105281
"With clarity still absent around the opening of schools, we at the ASE will be running a series of online webinars during May to help the #SciEd community cope with these new challenges! 🔬⚗️ Find out more here: https://t.co/adHxSHOCUz #remoteteaching #PriSci https://t.co/LatMQvWREl",5,https://twitter.com/theASE/status/1258064473186881536
"'The advice is that staff in non-residential education settings don't require PPE.'

Robert Jenrick says the government has published guidance on social distancing in schools, which will inform the plans on re-opening schools 

https://t.co/UvlK6uwHAz https://t.co/2YEEczlotB",5,https://twitter.com/itvnews/status/1258080703276822530
