text,n
"New @EducEndowFoundn School closure support resources added today...
https://t.co/CZzM6zHjQk",3
"There's a day of action today to say, 'no return to unsafe workplaces'. Socially-distanced actions could include cavalcades to hospitals and protests against possible moves to reopen primary schools #ExtendTheLockdown #ReturningToWork #coronavirus #COVID19 https://t.co/yYWR9q5kPv https://t.co/aIySFwfSu6",3
"While we are doing all we can to support the wellbeing of our young people during the school closures, we must not forget our teachers. From financial grants to mental health support, @EdSupportUK advises : https://t.co/ceGnEWzkIH #schoolclosureuk #mentalhealth",3
"#Iceland has almost eliminated the new #coronavirus.

It must have had one hell of a lockdown!

Well, no. Actually, schools remain open.

As ever, this excellent outcome is predominantly to do with *TESTING*.

https://t.co/21D77vUWsc",3
"No date planned for schools to reopen, says Weir as he hints at phased return. Jacquie White @UTU_edu was the only N.I. signatory in the letter, which warned of a risk that transmission rates might spike if schools are opened prematurely.  https://t.co/86gS3XoNji",3
Revealed: Boris Johnson's - #BorisTheButcher worst ever leader of the UK roadmap to ease lockdown and reopen schools and shops https://t.co/sARSZvz5rv,3
Trump advises teachers over 60 to not teach in-person ‘for awhile’ as he implores schools to reopen https://t.co/q2aoux3dVp,3
"Emmanuel Macron ploughs ahead with controversial plan to reopen schools despite warnings
https://t.co/caa9QQ87cP https://t.co/nD6OxWnyT6",3
Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/UpaNXi4RZM,3
"Fully reopening primary schools in Scotland would ""most likely"" see the NHS overwhelmed by coronavirus within two months, Nicola Sturgeon has warned. https://t.co/71ZRAUf9wc",3
"US schools should plan for phased reopening and more closures later, say experts https://t.co/lePQ6MV88Z",3
"Exclusive: Exam group @Cam_Assessment advises @educationgovuk that years 10, 12 and five should be prioritised when schools start to return https://t.co/o8GAffirkV",3
"Are you a teacher or a parent in the UK?  Is your or your child's school closed? 
 
Please help us to understand what schools are doing to support homeschooling and what you think about it by filling out this survey
 
https://t.co/AVziuPSbXE

#homeschooling #coronavirus #covid19 https://t.co/sm8nLUw2Ac",2
"Any decision needs to be UK wide, and only when safe to do. Why open schools and make children vectors? #coronavirus #schoolsreopening #notherdimmunity https://t.co/ycj7maQPAd",2
"Powys Teaching Health Board has published an open letter of thanks to teachers, schools, childcare staff and @PowysCC @powyssch colleagues for their work during Coronavirus 

https://t.co/egrnZ9leVa

#StayHomeSaveLives https://t.co/9SqDRPSGYw",2
"Prime MInister Boris Johnson has said the UK is now past the peak of the coronavirus pandemic. 

He adds he will next week set out a plan for how the restart the economy, how schools will resume and offices reopen. https://t.co/hh9f0pmA6X",2
"The #lockdown lottery: thousands of children are logging out of home #education.

But is hapless John Swinney, in thrall to defeatist unions, really the minister to guide us out of the crisis? #Covid-19 #coronavirus #SNP #schools 

Read more here: https://t.co/e2JYmhZHZR https://t.co/AP1PNHPrwP",2
"The Coronavirus is affecting all aspects of the education sector. As soon as the science allows, we must look at how best to not only return schools, but also ensure that no child is left behind.

My interview with @skynews👇 https://t.co/VbeCjIhp9Q",2
"New Studies Add to Evidence that Children May Transmit the Coronavirus

Experts said the new data suggest that cases could soar in many U.S. communities if schools reopen soon.

https://t.co/DsDC122wWT",2
"The @educationgovuk today highlighted the importance of a trauma informed approach in schools, when the children do return. This is something #Cornwall's schools been working on. For resources and info, please visit https://t.co/IYlGpol3Ry https://t.co/AVyPsOxDtV",2
Wuhan schools put folding plastic screens on students' desks to prevent virus @GoodSchoolsUK https://t.co/ua0oqstehk via @MailOnline,2
"Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/vx5rftMbrx
Long term sustainable funding solutions are needed for Local Government @cipfa this is a worrying illustration of long term funding issues",2
"There are pages and pages of it. Anonymous case studies, mainly. You might find it reassuring to see that these schools are just doing what you are all doing - the best you can in the circumstances. https://t.co/FmrZlFAjPy",2
"Local authorities brace for a surge in child protection referrals when schools re-open again 

https://t.co/C3h2p8WRXv",2
"Take a look at our interview with childhood bereavement charity, @winstonswish on how school leaders can support pupils who are bereaved or facing bereavement due to the coronavirus pandemic - 

https://t.co/H5IuMzO67u

#schools #education #schoolsupport #bereavement https://t.co/tdtZ4aRxWK",2
Coronavirus: NHS workers call for schools to stay closed | Tes #SheffActionCom ⁦@NEUSheffield⁩ @council_trades https://t.co/tCu2uqwTHJ,2
"Schools will have a phased re-opening following the coronavirus shutdown. Reports suggest this may start in June.

https://t.co/gUmrkENdq0",2
"Coronavirus Daily Debate 3⃣2⃣ 6 May 2020

90% of children globally are currently learning from home, lots using digital tools. 

When Coronavirus has passed, and schools reopen, do you think more learning should be done digitally? 🔽🔽

https://t.co/9cEF0iMztH https://t.co/Ax9OndRS74",2
"Schools shut, exams cancelled, restrictions on where you can go and who you can see - how are young people coping during the coronavirus crisis?

We want to hear from 11-18 year olds about their unique experiences in this strange and uncertain time.

👉 https://t.co/GsgSVQaT9r https://t.co/bdcmNXLoJk",2
Coronavirus: September target for re-opening of NI schools https://t.co/eFAOXJZ7tp,2
Dispatches from the future....Italy Is Reopening but Its Schools Aren’t. What’s a Parent to Do? https://t.co/HSiOtaRhpY,2
"What Voice would like to see before #schools and #nurseries reopen

The health, safety, and wellbeing of all those working in schools and nurseries must be paramount.  

https://t.co/T2hBPbqDQ7  #coronavirus #COVIDー19  #Covid19UK https://t.co/IL73Vmz9eR",2
"Britain's route out of #coronavirus lockdown is a five-stage plan staggered over the next six months, @PippaCrerar reports. 

#covid19uk #covid19 

When schools and restaurants could reopen and fans could return to football matches: https://t.co/Xd9rwSgX7Q",2
"Live updates: No date set for reopening Northern Ireland's schools, says Education Minister Weir #coronavirus #COVID19 
https://t.co/NQ6LchlpU4 https://t.co/szCg8nYCWx",2
BREAKING NEWS: No guarantee NI schools will reopen in September says Education Minister Peter Weir. https://t.co/oWkZ0sA2NT,2
BBC News - Coronavirus: September target for re-opening of NI schools https://t.co/FAOLO4VXsJ,2
BBC News - Coronavirus schools return: Can you really keep children 2m apart? https://t.co/M6y34dOGUo,2
Schools may remain closed 'until September' over coronavirus second wave fears https://t.co/DCzyQ88aVy https://t.co/x40bnQgHXb,2
"#Coronavirus: Education ministers warned by unions not to open schools prematurely - Jacquie White, @UTU_edu was the only Northern Ireland signatory in the letter, which warned of a risk transmission rates might spike if schools are opened prematurely https://t.co/EoFIZgHVfJ",2
"https://t.co/qPMDHvKng9
There should be no inspection of remote on-line learning during this crisis. Schools have moved mountains to get on-line learning up and running in a very short space of time. Give us credit, give us space and give us a break. Ofsted twiddle your thumbs.",2
Are your children eligible for Free School Meals? Didn’t receive the Local Authority grant for the first four weeks of school closure? It’s not too late to apply 👉🏼 https://t.co/2BCHvpjsTq,2
"If schools reopened in the UK in June, would you send your child or wait until September? 

(Please RT poll and share your opinion with a comment if you like)

#COVID19 #coronavirusuk #coronavirus",2
"In order to award this summer’s GCSEs &amp; A levels, schools &amp; teachers are being asked both to grade &amp; rank their students in each subject. @Tom_Middlehurst in @SecEd_Education looks at why the ranking may be more important than the grading itself: https://t.co/Z8sCJW4zWO @ssat",2
"Teachers won't need PPE when schools return, says minister https://t.co/UbregdmcyU",2
".@HC3S6 continues to work alongside colleagues in schools, to ensure that vulnerable and key worker children receive nutritious meals during the Coronavirus pandemic

https://t.co/HkYmQUbpno https://t.co/CjxBxBInPA",2
"Sweden Bucked Conventional Wisdom, and Other Countries Are Following. No lockdown, no shuttered businesses or elementary schools, no stay-at-home. And no disaster, either. https://t.co/V2d3nEBBT7",1
https://t.co/C3h2p8WRXv,1
https://t.co/sxsEglmr9R,1
"“What role will design play in helping schools to manage a phased post-Covid return of pupils?” asks the AJ’s Richard Waite. @penoyreprasad's @MarkRoweLondon joins the conversation – read the full article in today’s @ArchitectsJrnal: https://t.co/yAIlw7fBlr
@Waitey",1
"We have free online children's recycling resources, now tailored for at home teaching during the Coronavirus outbreak.

Visit our dedicated children's resource web page for more information: https://t.co/wrIVs3ZZMV #Recycle #LoveMK https://t.co/dxD1og6MwS",1
"Ten teacher unions across the UK and Ireland have written to the education ministers in England, Wales, Scotland, Northern Ireland and the Republic warning against a rush to reopen schools https://t.co/nS6VYGHkLM @theipaper",1
"Would love @GMB and @PGLTravel to explain
Coronavirus: Schools paying out thousands for cancelled PGL trips https://t.co/xjaf1a1sgM #Schoolsweek via @Schoolsweek",1
We cannot make plans for the phased return of schools until we know exactly why they are being re-opened &amp; until we find solutions to four key challenges that are at risk of being overlooked. Headteacher Dr Robin Bevan writes in SecEd https://t.co/bY5jCKIiZU #coronavirusuk,1
"Very very dangerous for UK Political leaders to be calling for schools to reopen. Teachers are dying of Coronavirus &amp; they are denied tests and PPE. Teacher Unions are fighting hard to keep them closed to protect staff, pupils and parents. UK Political Opposition must rethink.",1
Very pleased to see this article on re-opening schools published today - proud to work with @didjourdan and @MichaelMarmot on such an important topic @UNESCOchairGHE @IAAHglobal @NCDChild @AYPHcharity https://t.co/KmIJE9WFvg,1
"UK coronavirus live: too early to reopen schools in Scotland, says Scottish government https://t.co/uFSMvqJFaW",1
"We want to hear from families about life since schools closed due to #coronavirus. We've created two surveys. Please complete or share with your network! 
- For parents and carers: https://t.co/mDz8J6jyPQ 
- For children and young people: https://t.co/Xp7RMJJr60 https://t.co/8GOieTDxNh",1
"UK coronavirus live: Raab says it would not be safe to reopen all schools; official death toll rises to 29,427 https://t.co/QG5rmvx9Zd",1
"Whats leading governments to these rash decisions of reopening schools and businesses is the panic about their receding economies.Only thing is,death rates will rise again and lockdowns will resume.The world economy is about to experience a recession like no other #coronavirus",1
"This highlights why free school meal voucher funding should be available to schools as well as supermarkets. A simple change like that could make a big difference.

'BBC News - Coronavirus: 'Humiliation' as school meal vouchers fail at till' https://t.co/2nOxloMrrJ",1
"While we are doing all we can to support the wellbeing of our young people during the school closures, we must not forget our teachers. From financial grants to mental health support, @EdSupportUK advise SecEd readers : https://t.co/K3DCCtIKuE #schoolclosureuk #mentalhealth",1
"While we are doing all we can to support the wellbeing of our young people during the school closures, we must not forget our teachers. From financial grants to mental health support, @EdSupportUK advise SecEd readers : https://t.co/ceGnEWzkIH #schoolclosureuk #mentalhealth",1
The leaders of England's two largest teaching unions have come together with others from across the UK to urge 'significant caution' over plans to reopen schools https://t.co/NX72UVX4C1,1
"The children left behind as schools go digital | @hannaheboland https://t.co/7qCtTQ8vMC
#coronavirus #education https://t.co/s6lJdSf49w",1
"The General Secretary of the Ulster Teachers’ Union #UTU, Jacquie White, was interviewed this evening on UTV Live. She warned about the reopening of schools prematurely causing the risk of a spike in the transmission of coronavirus. https://t.co/8y9F05V6d3",1
"With #covid_19 homes have multiplied their uses becoming our offices, our nurseries, our schools, our vegetable plots and our conference centres. We are experiencing both fragility of our infrastructure and resilience of our space. How to evolve from #coronavirus? #architecture https://t.co/5wCoYMqPmd",1
"The #studentsunite campaign led by Agata (L6th)and her sister, Alice (OS) has raised £36,478 for @MSF with students across schools/universities uniting to fund urgent medical care in 70 counties. 
Follow @studentsunitefundraiser on Instagram - details 👇
https://t.co/qFbcJjy0tc",1
"Trade unions warn against premature reopening of schools as part of the government’s #coronavirus exit strategy.

Read more from @NASUWT, @NEUnion, @UCU and others:
https://t.co/lJ5uXB4Spp",1
"""It's better...to take the economic hit""
Former Cabinet Minister Rory Stewart tells #BBCBreakfast he believes closing schools and events now, due the #coronavirus, is worth it.
More here: https://t.co/fqHEi5KtQH https://t.co/FZNKMLRK7v",1
"She said teachers would be worried about returning to packed classrooms until the threat of coronavirus is eliminated 

https://t.co/GhOYBkSlzm",1
He says schools starting back in the autumn is likely but he really didn't want to commit to a time frame on @BBCRadioFoyle. #education #schools #coronavirus,1
"Excellent article from @elashton about the existential threat facing childcare providers.

As I say in the piece, they've been asked to take on the responsibilities of schools but the liabilities of businesses. It's no wonder so many are having to close.

https://t.co/7N0T9XH3dY",1
"Does Closing Help Stop the Coronavirus? - The New York Times

Norway is planning to find out by opening schools in one district, with half the number of children with 6ft distancing, testing all children and teachers first.

Then, if successful - stage 2 https://t.co/ddmeVYebhi",1
"Criteria drawn up by the @NEUnion call for testing of staff and students and a national plan for social distancing within schools before they are reopened
https://t.co/tHbCDMyIdY",1
"Coronavirus: PPE not needed in schools, government insists https://t.co/BQ49H9XuJr | TES",1
Coronavirus: No guarantee NI schools will reopen in September says Education Minister Peter Weir. https://t.co/8AtWonF5st,1
"Coronavirus: Guidance needed on social distancing, and 7 other demands from headteachers https://t.co/Gg9tkwvhVY @ASCL_UK",1
"Coronavirus: Don't rush to reopen schools, Williamson warned | Tes https://t.co/ah6PhwKGUN",1
Coronavirus: 'Pay teachers to work in summer schools' https://t.co/z3fT50ut8w | TES,1
"Coronavirus LIVE as Health Secretary insists it is 'too soon' to say when schools will return
https://t.co/EqaJ6DHl5a",1
Closing schools WORKED in fighting off the coronavirus https://t.co/M41VF3qa1h via @MailOnline,1
"CONFIRMED: early years staff will be able to access free coronavirus tests as govt opens up testing to all essential workers.

""Essential workers"" will be based on the same criteria as those who are eligible to have children attend schools/settings: https://t.co/6ULUxlB1VN",1
BBC News - Coronavirus: September target for re-opening of NI schools https://t.co/QRr2vU4oil,1
Australia coronavirus live: Sydney school closed after student tests positive as death toll hits 95 – latest updates https://t.co/0085FSqM4W,1
"As schools continue to work remotely, teachers may be worried about possible security risks associated with this. Our partners @SWGfL_Official have written this  article about cyber security during Coronavirus. https://t.co/GE9YHCEBfw https://t.co/rS7K8AwwiZ",1
"Although the UK-German Connection office is currently closed, our team is still working and will continue to support you in your 🇬🇧🇩🇪 activity and involvement in our programmes. Here's how to contact us: https://t.co/eVBGSasVdJ",1
"According to @TeachFirst, paying teachers overtime to work in summer schools will be essential to helping disadvantaged children catch up following the school closures
https://t.co/VYM3K79EVh",1
"@HeadteacherNews has published a range of best practice articles to support schools, families &amp; pupils during #coronavirus outbreak &amp; #homeschoolinguk – all free to access. https://t.co/DHoKaZOuf5 #schoolclosuresuk",1
5/5/20: New DfE guidance on critical workers who can access schools or educational settings and 2 updates on remote education and travel advice for schools: https://t.co/0fC9wp8paW,1
".@NicolaSturgeon at @scotgov briefing:

- We are seeing progress but progress is fragile 
- Need to get &amp; keep R number below 1
- R needs to be below 1 before we restrictions ease
- See Denmark experience re schools

Framework for Decision Making' doc 👇
https://t.co/1C9AiiN9wu",1
#Coronavirus: Social workers brace for a surge in child protection referrals when schools re-open https://t.co/56LuNadWqI,1
"#Coronavirus: No date for schools to reopen, says Peter Weir 

https://t.co/gxp94TczIn",1
"#Coronavirus thread 👇

We are sharing a pack of FREE maths activities to support schools and parents during #schoolclosuresuk.
Download it HERE: https://t.co/zvGx9zJNyw

We’ll be adding more resources below, send us any links we could include!

#StaySafeStayHome #MathsAtHome https://t.co/VJjsKEI8RW",1
"""We could see thousands of children really being left behind.""

Labour MP @PutneyFleur says running summer schools for disadvantaged children when #coronavirus restrictions are eased is ""vitally important"" and ""absolutely possible to do"".

Read more: https://t.co/NiW89Hj9V6 https://t.co/diDegD8VSe",1
"""The thought of reopening fully is challenging."" 
A member’s view
https://t.co/R8MBq8yd0b
#schools #coronavirus #COVID19 #earlyyears",1
"""The evidence has been that we wouldn't be able to open up all schools without a very real risk that the R rate, the transmission rate, would rise at such a level that we would risk a second spike,"" says Foreign Secretary Dominic Raab.

Latest on #COVID19: https://t.co/LsLSE4WbTz https://t.co/sK6Sn5REuO",1
"Francesca (Y7) has illustrated an e-book of short stories to help raise money for charities protecting those most affected by the #coronavirus pandemic. The book, Stories for Kids in Lockdown, can be bought here: https://t.co/N7p9Oh4A0m #stpaulsgirlsschool #spgs #creativity https://t.co/rcn5xnW0KF",1
Headteachers warn of string of obstacles to reopening schools ❎https://t.co/nb5TEOembM by @standardnews,1
"Scottish gvt on schools:

This is a *very* striking graph showing that:

- the most likely scenario shows schools reopening leading to a small increase in the number of people needing a hospital bed

- BUT the worst case scenario is dreadful 

Doc here

https://t.co/FwxefG0b9W https://t.co/ZRhLESy9ZJ",1
"Here’s a top tip from teachers to help with children's learning and wellbeing during Covid19: ""try home learning for 25 minutes then having a 5 minute break – it’s more productive”. For more tips see https://t.co/IGfE5DKEIX https://t.co/mL2g4uDp66",1
"Schools return in Wuhan but not as we know it.  Personally I think it is too soon here, we need sufficient evidence from Public Health England to give schools and parents confidence it is safe to do so.  https://t.co/GNC1QHQPod",1
Schools may remain closed 'until September' over coronavirus second wave fears https://t.co/DCzyQ8pLN6 https://t.co/CaTx89XvrW,1
Schools may remain closed 'until September' over coronavirus second wave fears https://t.co/DCzyQ88aVy https://t.co/BvH51XzdbF,1
Schools may remain closed 'until September' over coronavirus second wave fears https://t.co/DCzyQ88aVy https://t.co/2wr2ytCLqf,1
"Schools in UK may not return until September, Hancock warns https://t.co/gGSv3GdrK9",1
"Schools built on kindness - this is an idea I can wholeheartedly support!

'The human stuff matters': heads call for a kinder school system post Covid-19 

https://t.co/vkLjS8iYXx",1
"Schools and offices urged to enforce 4 days on, 10 days off to limit Covid-19 spread https://t.co/c1WULM5G4M #coronavirus uk
#COVID19",1
"Schools across England will reopen in phases, says education secretary https://t.co/UQF2saqssm",1
Revealed: Boris Johnson's roadmap to ease lockdown and reopen schools and shops &amp; it's clear now that Boris should accept that  the situation is out of control&amp; that a cross party UKGovt of National Unity is now urgently needed B4 we risk free fall chaos! https://t.co/k6ZmpwOnvf,1
