text,n
"Nicola Sturgeon says Scottish gov't will announce when schools go back – not UK gov't https://t.co/P9OcaLNrG9

🤣🤣🤣🤣🤣🤣

Of course. The Scottish gov't have total control of Education here. Just like the NHS, Education is 100% devolved to Holyrood

Please remember that folks.",5
Trump advises teachers over 60 to not teach in-person ‘for awhile’ as he implores schools to reopen https://t.co/CpSpaTtlSO,5
"Official: #mufc are donating £300,000 to local schools during the coronavirus pandemic. 30 schools will receive £10,000 each #mulive",5
"With clarity still absent around the opening of schools, we at the ASE will be running a series of online webinars during May to help the #SciEd community cope with these new challenges! 🔬⚗️ Find out more here: https://t.co/adHxSHOCUz #remoteteaching #PriSci https://t.co/LatMQvWREl",5
"'The advice is that staff in non-residential education settings don't require PPE.'

Robert Jenrick says the government has published guidance on social distancing in schools, which will inform the plans on re-opening schools 

https://t.co/UvlK6uwHAz https://t.co/2YEEczlotB",5
"A @CEP_LSE study has found that teachers could need to work ""well over two additional hours per week"" to make up for lost learning once schools reopen
https://t.co/HFbR1kccRb",5
"Last week, the Education Minister, Kirsty Williams, set out her five key principles which will determine how education will be phased in at schools in Wales.

Keep an eye on our FAQs for updated information.

https://t.co/vOfSfeF6j6 https://t.co/XPTu7Z796a",4
Schools in Wuhan reopen for first time since coronavirus outbreak https://t.co/C4xhtOruff,4
"The learning loss over a four-week school closure is equivalent to ""moving a middle-ranking child down to the bottom 30 per cent of children"", a @CEP_LSE study says
https://t.co/HFbR1kccRb",4
Has everyone seen this new best practice guidance from DfE? Tips on how to do what you've been doing for the last few weeks. Someone thought it was useful. https://t.co/Gp1DrceQuP,4
"Get the latest coronavirus guidance for schools by subscribing to our teacher bulletin.     

Subscribe now for the latest updates from us straight to your 
inbox 👇 

https://t.co/Pcr2eGJBO6 https://t.co/Ny3y5kJmKW",4
PCS has launched a Save The British Council campaign to fight for the future of the organisation whose funding has been cut by 85% because of the closure of nearly all its schools due to coronavirus-related measures worldwide. https://t.co/uWwUI9aNhx #SaveBritishCouncil https://t.co/kQV2FOqjT3,4
"Excellent article on school re-opening issues which @GavinWilliamson from the Government and @AngelaRayner from @UKLabour must consider with some urgency.

https://t.co/3ieUXdaU0H",4
"'No need for teacher PPE,' say ministers, closing the gap, and a rebuttal of @Andrew_Adonis's criticism of schools. It's all here: Coronavirus and schools: LIVE 7/5 https://t.co/ugyADQ8YOa",4
Coronavirus schools return: Can you really keep children 2m apart? - BBC News This is well worth a read. We need to ensure our schools have a clear plan not based on political expediency #Covid_19 #schools  https://t.co/l42sZxoDXr,4
"Powys Teaching Health Board has published an open letter of thanks to teachers, schools, childcare staff and @PowysCC @powyssch colleagues for their work during Coronavirus 

https://t.co/cETiC4rZpM

#StayHomeSaveLives https://t.co/tqGBsBlAEw",4
"Plans being put in place so if referrals spike #CouncilsCan ensure children and families get the right help quickly, ⁦@cllrjudithblake⁩ tells ⁦@Independent⁩  https://t.co/IXFnvhlM2D",3
"Social workers in England braced for surge in referrals of vulnerable children when schools re-open, due to abuse going unnoticed during lockdown. Sure to apply here too. Got a concern? Say something.  https://t.co/eInIuOtulu 
#KeepKidsSafeC19 #Covid19
https://t.co/sbXlqbQ2ej",3
Ten trade unions representing around one million teachers across the UK and Ireland have written a joint letter to education ministers urging “significant caution in any consideration of re-opening schools”: https://t.co/MIntjOIMQM @NEUnion @NASUWT @PatrickR_NASUWT #coronavirusuk,3
"""We didn't want to shut schools and colleges"".

@MattHancock says the UK ""really had to"" shut schools and colleges because they ""help to spread"" #COVID19, adding the govt is considering when they can reopen.

Follow live: https://t.co/zZI4u37FbY #AskTheHealthSecretary https://t.co/6gIffFsqtn",3
Ten trade unions representing around one million teachers across the UK and Ireland have written a joint letter to education ministers urging “significant caution in any consideration of re-opening schools”: https://t.co/vO1WRG568h @NEUnion @NASUWT @PatrickR_NASUWT #coronavirusuk,3
"It's difficult for teachers and parents to explain the current pandemic to young children.

We've put together our tips on how to address the subject in a safe and supportive manner: https://t.co/IvAquG8lG5

#education #covid19 #teachers #parents",3
Teachers: why we won't be rushed back to school https://t.co/hkIG8gAzwY #coronavirus #COVID19 #schoolsreopening #NEU,3
"There was a meeting with teachers of Islamic Almajiri schools in the state to let them know why the decision was taken.

Primary to tertiary institutions are closed in the country as part of measures to reduce the spread of Coronavirus.

Almajiri schools cannot be an exception.",3
