text,n,tweet_url
"Things that city leaders can do to drive a green recovery from #COVIDー19: remove through motor traffic from residential streets; extend pavements near shops, schools and parks; safe routes on foot, bike and scooter to green spaces; #cycle routes to work:  https://t.co/uBqHBnJMZ1",96,https://twitter.com/sustrans/status/1257591896119050240
Coronavirus: Germany is reopening its schools and the world is watching https://t.co/ahFd01DPxe,96,https://twitter.com/SkyNews/status/1256939307018878976
"Why? Why don't private schools ask the parents to donate? Some of them are very wealthy We, the taxpayers, are now subsidising them 
 https://t.co/EmgG66I3l3",90,https://twitter.com/mireille_pouget/status/1256875977373896704
"Alternative Headline:

Sensible UK citizens continue to take the #coronavirus crisis seriously with a UK death toll of 28k-50k victims. It's not sorted yet!

Meanwhile insane Americans campaign to ignore the virus as a hoax and die in even greater numbers

https://t.co/gYyUoo6aW5",87,https://twitter.com/Blazerunner2049/status/1256713633775656960
"Coronavirus: Educators set 5 tests for reopening schools
National Education Union say lower case count, testing for staff and pupils and social distancing are priorities if schools are to reopen safely https://t.co/xGDoMGETfI",72,https://twitter.com/cyclingkev/status/1256330970585686018
"- UK now has world's second highest death toll (29,502) after the US (70,646)
- Schools in China's Hubei province begin to re-open
- Top UK lockdown professor resigns  
- Trump announces White House coronavirus task force to be replaced

Morning update: https://t.co/9TFIaGNeV8",69,https://twitter.com/BBCNews/status/1257951010976342017
"Evidence:
https://t.co/6yyejfvp69
https://t.co/TAEnCoMaXN",67,https://twitter.com/Femi_Sorry/status/1255911737028685824
Teachers and parents urge @GavinWilliamson not to rush to re-open schools in join letter from @NEUnion and @Parentkind https://t.co/rxEok8g3Yn,58,https://twitter.com/tes/status/1258052586126675970
"We have ""every reason to believe that children can infect others"", and we should ""take that seriously"", according to Professor @PeterDrobac from the University of Oxford
https://t.co/r0L7o9kvAN",55,https://twitter.com/tes/status/1256087202590855168
"#Coronavirus: Germany is set to partially reopen its schools in the coming days, and the world is watching.

Analysis from Sky's Europe correspondent @adamparsons 👇 https://t.co/tc3VZTxLNK",52,https://twitter.com/SkyNews/status/1257017858594308103
Breaking: Prime Minister Boris Johnson announces plan for school reopening will be set out next week  https://t.co/gj2Yio9AoU,51,https://twitter.com/tes/status/1255899444345741312
"South Korea reported only THREE new cases of the virus, its lowest total since Feb 18, and schools will be reopened in PHASED steps, starting with high school seniors on May 13.

UK had 6,111 new cases reported yesterday.
Now is not the time #FiveTests https://t.co/FFKCh8xHgQ",51,https://twitter.com/cyclingkev/status/1258286862801698816
"Teachers set out five tests that need to be passed before schools can open fully,  including creation of a national social distancing plan - drawn up by @NEUnion https://t.co/tHbCDMyIdY",47,https://twitter.com/tes/status/1256230469533925378
"""We've tried to act as quickly, as effectively, as efficiently as possible. We think the best way of getting to the most vulnerable children in our community is to go through the schools.""

#MUFC have been working hard to help the community during the coronavirus lockdown...",46,https://twitter.com/SkySports/status/1257747852752756736
The leaders of England's two largest teaching unions have come together with others from across the UK to urge 'significant caution' over plans to reopen schools https://t.co/NX72UVX4C1,45,https://twitter.com/SchoolsWeek/status/1257626179307274241
"Something I’m noticing about the 5G / Coronavirus conspiracy theories is that quite a few of my mates from back home in the Midlands are taking them seriously. These are not stupid people. Our schools were awful and we’re technically “poorly educated”, but they’re not stupid.",45,https://twitter.com/Jake_Hanrahan/status/1256950420406239232
"Government continues to insist PPE is not needed in schools, despite over three quarters of teachers saying in a Tes survey they need protective equipment to feel safe in re-opened schools https://t.co/RbqcNurLnp",44,https://twitter.com/tes/status/1258085379279912963
Primary schools 'will go back on JUNE 1 as coronavirus lockdown is lifted https://t.co/1yJytnmYor,43,https://twitter.com/DailyMailUK/status/1256859825675415552
"#Coronavirus: Germany is set to partially reopen its schools in the coming days, and the world is watching.

Analysis from Sky's Europe correspondent @adamparsons 👇 https://t.co/1Gi5aBnnBh",40,https://twitter.com/SkyNews/status/1256953289029156866
"Social workers are bracing for a surge in referrals of vulnerable children when schools re-open.

Referrals dropped by more than 50% at the start of April, as the majority of children were no longer coming into contact with their usual support networks😔
https://t.co/Fltwtynrfe",39,https://twitter.com/childrensociety/status/1258026276822175744
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/zXCXFZN3ht",39,https://twitter.com/SkyNews/status/1258053909987426313
"Speaking to local headteachers there is increasing concern over this rush to reopen schools - have you ever tried to get a group of 6-year-olds to stay 2m apart from each other for a whole day?

Ministers must listen to teachers as they draw up these plans.https://t.co/pnyhwakIHR",38,https://twitter.com/timfarron/status/1257272186609508353
Coronavirus: Schools reopen in Chinese city where pandemic began https://t.co/D6Lo1PB6E3,36,https://twitter.com/SkyNews/status/1257984729548234752
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/ZaijigThCV",36,https://twitter.com/SkyNews/status/1258119036371636224
I see mention of children not transmitting the virus and that we should open schools - really? How solid is this data?  Viral loads can be as high as in adults - is this a risk worth taking? Not in my opinion. Coronavirus: children in intensive care https://t.co/DoB49A0PII,35,https://twitter.com/igoodfel/status/1256109294191337473
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/m9uE6BUyzW",34,https://twitter.com/SkyNews/status/1258024407563472896
#NASUWT and nine other trade unions write to education ministers in the UK and Ireland urging significant caution on schools reopening during #Coronavirus crisis. Full text of letter here: https://t.co/Ql8YxyiSui https://t.co/4eEUnLEiaW,34,https://twitter.com/NASUWT/status/1257634137780834305
"""The evidence has been that we wouldn't be able to open up all schools without a very real risk that the R rate, the transmission rate, would rise at such a level that we would risk a second spike,"" says Foreign Secretary Dominic Raab.

Latest on #COVID19: https://t.co/LsLSE4WbTz https://t.co/sK6Sn5REuO",33,https://twitter.com/SkyNews/status/1257714414091939843
"UK coronavirus live: too early to reopen schools in Scotland, says Scottish government https://t.co/uFSMvqJFaW",32,https://twitter.com/guardian/status/1257638394513051648
"Criteria drawn up by the @NEUnion call for testing of staff and students and a national plan for social distancing within schools before they are reopened
https://t.co/tHbCDMyIdY",30,https://twitter.com/tes/status/1257023373810511872
"""We will not compromise the safety of your children.""

@NicolaSturgeon says schools in Scotland may not reopen ""this side of the summer holidays"", and vulnerable pupils or those transferring to secondary school might return first.

#COVID19 latest: https://t.co/l4UtAMTt6L https://t.co/7tpHsupRRa",30,https://twitter.com/SkyNews/status/1257640098549698561
"Overwhelming proportion of Brits want pubs, schools and restaurants to remain shut

https://t.co/ERx3xUGCkC https://t.co/epPpkqkGCz",29,https://twitter.com/DailyMirror/status/1256842710910148611
"We want to hear from families about life since schools closed due to #coronavirus. We've created two surveys. Please complete or share with your network! 
- For parents and carers: https://t.co/mDz8J6jyPQ 
- For children and young people: https://t.co/Xp7RMJJr60 https://t.co/8GOieTDxNh",28,https://twitter.com/CPAGUK/status/1256245115837964290
"Gosh, I wonder what they’re afraid of.

Fearful Britons remain strongly opposed to lifting coronavirus lockdown | Coronavirus outbreak | The Guardian https://t.co/kObkSb4jar",27,https://twitter.com/leninology/status/1256882704001499138
"""Undoubtedly this government, like all governments, will have made mistakes.""

@michaelgove says there ""will be a time"" when the #coronavirus is under control that the government can ask itself ""deep and probing"" questions on how it handled the crisis.

https://t.co/ijoZkuDnuS https://t.co/KYMbasAKor",26,https://twitter.com/SkyNews/status/1256981978936758272
"Government must lead on reopening of UK schools after lockdown, says union boss https://t.co/WnrI8HSUbz",26,https://twitter.com/NASUWT/status/1256202552363888646
"New: There's been a big focus on schools reopening after lockdown, but childcare providers are seldom mentioned. I spoke to nurseries and childminders fearing for their futures - with huge consequences for staff, parents and the economy as a whole https://t.co/CY9HQComH4",25,https://twitter.com/elashton/status/1257641423865774080
Australia coronavirus live: Sydney school closed after student tests positive as death toll hits 95 – latest updates https://t.co/0085FSqM4W,25,https://twitter.com/guardian/status/1257066244475404291
"Minding the gap - visualising the impact of COVID-19 on global education. Read my blog announcing a new tool to display @CGDev's school closure database using @MSPowerBI.  @Fihi_maFihi @PaulineMRose    
👀👉Blog: https://t.co/pVCVEXdSKW 
👀👉Tool: https://t.co/J1uqFSNOdc https://t.co/lPhs0HjXoR",25,https://twitter.com/stuartpjohnson/status/1257244769488646144
"So he didn’t catch it at school
Where did he catch it?
Cokes?
Woolies?
Do we close supermarkets ?
No
Just schools
https://t.co/qjzi3PWDb3",24,https://twitter.com/OMGTheMess/status/1256896254174392321
