,trigram,n
2226,donate wealthy taxpayers,90
2245,dont private schools,90
5589,parents donate wealthy,90
7194,schools ask parents,90
9606,wealthy taxpayers subsidising,90
6051,private schools ask,90
383,ask parents donate,90
4746,meanwhile insane americans,87
226,alternative headline sensible,87
9433,virus hoax die,87
8119,sorted yet meanwhile,87
9412,victims sorted yet,87
9150,uk death toll,87
756,campaign ignore virus,87
1349,continue take coronavirus,87
3419,headline sensible uk,87
2122,die even greater,87
1429,coronavirus crisis seriously,87
8998,toll victims sorted,87
3679,ignore virus hoax,87
7849,sensible uk citizens,87
9143,uk citizens continue,87
8565,take coronavirus crisis,87
3823,insane americans campaign,87
1871,crisis seriously uk,87
7873,seriously uk death,87
1989,death toll victims,87
9972,yet meanwhile insane,87
2602,even greater numbers,87
1063,citizens continue take,87
239,americans campaign ignore,87
3564,hoax die even,87
7505,schools reopen safely,74
8751,testing staff pupils,72
7012,say lower case,72
9245,union say lower,72
8214,staff pupils social,72
1456,coronavirus educators set,72
8064,social distancing priorities,72
4556,lower case count,72
2457,educators set tests,72
8769,tests reopening schools,72
7894,set tests reopening,72
6040,priorities schools reopen,72
6206,pupils social distancing,72
2435,education union say,72
6631,reopening schools national,72
2190,distancing priorities schools,72
810,case count testing,72
3541,highest death toll,72
1734,count testing staff,72
4986,national education union,72
7403,schools national education,72
9715,white house coronavirus,71
3634,house coronavirus task,71
1641,coronavirus task force,71
7972,sign chinas increasing,70
3750,increasing confidence worst,70
1047,chinas increasing confidence,70
1809,covid19 originated sign,70
1297,confidence worst outbreak,70
5479,originated sign chinas,70
9096,trump announces white,69
7221,schools chinas hubei,69
2936,force replaced morning,69
6574,reopen top uk,69
6140,province begin reopen,69
9201,uk worlds second,69
9021,top uk lockdown,69
3649,hubei province begin,69
4472,lockdown professor resigns,69
8605,task force replaced,69
9350,us schools chinas,69
6697,resigns trump announces,69
525,begin reopen top,69
9858,worlds second highest,69
6082,professor resigns trump,69
1988,death toll us,69
8997,toll us schools,69
6658,replaced morning update,69
7748,second highest death,69
1046,chinas hubei province,69
9173,uk lockdown professor,69
279,announces white house,69
1519,coronavirus lockdown lifted,67
8647,teachers parents urge,58
3092,gavinwilliamson rush reopen,58
3993,join letter neunion,58
7352,schools join letter,58
4304,letter neunion parentkind,58
9316,urge gavinwilliamson rush,58
6550,reopen schools join,58
5611,parents urge gavinwilliamson,58
5654,past thermal scanners,56
2552,entered single file,56
5480,originated students wore,56
2080,desks kept one,56
4678,masks entered single,56
5344,one metre apart,56
4807,metre apart arrival,56
4070,kept one metre,56
1810,covid19 originated students,56
300,apart arrival times,56
354,arrival times staggered,56
9777,wore masks entered,56
2816,file past thermal,56
7070,scanners desks kept,56
8829,thermal scanners desks,56
8020,single file past,56
8377,students wore masks,56
6014,primary schools go,55
3770,infect others take,55
7870,seriously according professor,55
4012,june coronavirus lockdown,55
454,back june coronavirus,55
535,believe children infect,55
40,according professor peterdrobac,55
5736,peterdrobac university oxford,55
6081,professor peterdrobac university,55
8572,take seriously according,55
974,children infect others,55
3189,go back june,55
5485,others take seriously,55
6381,reason believe children,55
2622,every reason believe,55
9249,unions come together,54
4153,largest teaching unions,54
8978,together others across,54
1226,come together others,54
9127,two largest teaching,54
5815,plans reopen schools,54
65,across uk urge,54
7983,significant caution plans,54
8687,teaching unions come,54
846,caution plans reopen,54
4203,leaders englands two,54
2530,englands two largest,54
9197,uk urge significant,54
9317,urge significant caution,54
5482,others across uk,54
848,caution reopening schools,53
9029,total since feb,51
4730,may uk new,51
7143,school reopening set,51
7147,school seniors may,51
5093,new cases virus,51
652,breaking prime minister,51
823,cases virus lowest,51
7887,set next week,51
822,cases reported yesterday,51
5092,new cases reported,51
8887,three new cases,51
3533,high school seniors,51
7518,schools reopened phased,51
9437,virus lowest total,51
8280,steps starting high,51
4559,lowest total since,51
8245,starting high school,51
4133,korea reported three,51
5758,phased steps starting,51
6650,reopening set next,51
8005,since feb schools,51
6669,reported three new,51
6670,reported yesterday time,51
9967,yesterday time fivetests,51
276,announces plan school,51
8124,south korea reported,51
3969,johnson announces plan,51
5801,plan school reopening,51
7846,seniors may uk,51
2783,feb schools reopened,51
9177,uk new cases,51
606,boris johnson announces,51
6582,reopened phased steps,51
9329,urging significant caution,50
2951,former schools minister,50
7392,schools minister andrew_adonis,50
7884,set five tests,49
8062,social distancing plan,47
2883,five tests need,47
3045,fully including creation,47
638,brace surge child,47
4993,national social distancing,47
5789,plan drawn neunion,47
5649,passed schools open,47
5384,open fully including,47
5013,need passed schools,47
3733,including creation national,47
8763,tests need passed,47
1846,creation national social,47
6109,protection referrals schools,47
2188,distancing plan drawn,47
8659,teachers set five,47
7429,schools open fully,47
6422,referrals schools reopen,47
921,child protection referrals,47
8511,surge child protection,47
6259,quickly effectively efficiently,46
4946,mufc working hard,46
1255,community go schools,46
69,act quickly effectively,46
3201,go schools mufc,46
1253,community coronavirus lockdown,46
9192,uk schools reopen,46
3477,help community coronavirus,46
7398,schools mufc working,46
9577,way getting vulnerable,46
2469,effectively efficiently possible,46
9084,tried act quickly,46
949,children community go,46
3400,hard help community,46
5920,possible think best,46
9829,working hard help,46
9489,vulnerable children community,46
552,best way getting,46
8847,think best way,46
9700,weve tried act,46
2471,efficiently possible think,46
3158,getting vulnerable children,46
6328,re technically poorly,45
8833,they re stupid,45
6264,quite mates back,45
8105,something noticing coronavirus,45
8701,technically poorly educated,45
4812,midlands taking seriously,45
7872,seriously stupid people,45
5253,noticing coronavirus conspiracy,45
8585,taking seriously stupid,45
5897,poorly educated they,45
7196,schools awful we,45
446,awful we re,45
8820,theories quite mates,45
5952,ppe needed schools,45
453,back home midlands,45
4688,mates back home,45
9605,we re technically,45
1330,conspiracy theories quite,45
3590,home midlands taking,45
5710,people schools awful,45
2374,educated they re,45
1401,coronavirus conspiracy theories,45
8396,stupid people schools,45
8523,survey need protective,44
5032,needed schools despite,44
8888,three quarters teachers,44
1353,continues insist ppe,44
8731,tes survey need,44
2090,despite three quarters,44
2793,feel safe reopened,44
3246,government continues insist,44
7275,schools despite three,44
5017,need protective equipment,44
3826,insist ppe needed,44
6110,protective equipment feel,44
6958,safe reopened schools,44
6235,quarters teachers saying,44
2559,equipment feel safe,44
7028,saying tes survey,44
8652,teachers saying tes,44
9491,vulnerable children schools,43
4310,level would risk,43
7682,scientists caution reopening,43
6861,risk second spike,43
9907,would risk second,43
1017,children schools reopen,42
6424,referrals vulnerable children,42
8513,surge referrals vulnerable,42
4590,majority children longer,39
1612,coronavirus scientists caution,39
1336,contact usual support,39
640,bracing surge referrals,39
1231,coming contact usual,39
4517,longer coming contact,39
2290,dropped start april,39
986,children longer coming,39
9811,workers bracing surge,39
8080,social workers bracing,39
7503,schools reopen referrals,39
8234,start april majority,39
329,april majority children,39
9381,usual support networks,39
6532,reopen referrals dropped,39
6421,referrals dropped start,39
4423,local headteachers increasing,38
9085,tried get group,38
3749,increasing concern rush,38
8630,teachers draw plans,38
9724,whole day ministers,38
4377,listen teachers draw,38
4855,ministers must listen,38
9148,uk coronavirus live,38
8261,stay apart whole,38
1957,day ministers must,38
3342,group yearolds stay,38
3432,headteachers increasing concern,38
3133,get group yearolds,38
4959,must listen teachers,38
8136,speaking local headteachers,38
2619,ever tried get,38
6547,reopen schools ever,38
7305,schools ever tried,38
1285,concern rush reopen,38
304,apart whole day,38
9951,yearolds stay apart,38
422,australia coronavirus live,37
6488,reopen chinese city,36
1048,chinese city pandemic,36
1068,city pandemic began,36
7485,schools reopen chinese,36
1606,coronavirus schools reopen,36
1396,coronavirus children intensive,35
4410,loads high adults,35
9424,viral loads high,35
1941,data viral loads,35
6869,risk worth taking,35
118,adults risk worth,35
9438,virus open schools,35
976,children intensive care,35
7477,schools really solid,35
3531,high adults risk,35
9879,worth taking opinion,35
8092,solid data viral,35
8583,taking opinion coronavirus,35
6377,really solid data,35
9068,transmitting virus open,35
4793,mention children transmitting,35
7800,see mention children,35
1029,children transmitting virus,35
5409,open schools really,35
5452,opinion coronavirus children,35
9264,unions write education,34
849,caution schools reopening,34
9049,trade unions write,34
4856,ministers uk ireland,34
9167,uk ireland urging,34
7984,significant caution schools,34
7052,says scottish government,34
5215,nine trade unions,34
2400,education ministers uk,34
9917,write education ministers,34
4981,nasuwt nine trade,34
6624,reopening schools june,34
6593,reopening coronavirus crisis,34
3892,ireland urging significant,34
1423,coronavirus crisis full,34
1861,crisis full text,34
3040,full text letter,34
7526,schools reopening coronavirus,34
9,able open schools,33
2941,foreign secretary dominic,33
8806,the evidence wouldnt,33
