,trigram,n
138,bike scooter green,12
1775,schools could return,12
1703,safe routes foot,12
1681,risk virus infection,12
2363,virus infection rate,12
1672,rising causing second,12
551,drive green recovery,12
881,honestly can see,12
2085,summer holidays honestly,12
437,create risk virus,12
1960,shops schools parks,12
1498,pupils back summer,12
535,dominic raab said,12
1358,parks safe routes,12
2195,things city leaders,12
865,holidays honestly can,12
701,first minister johnswinney,12
672,extend pavements near,12
1175,motor traffic residential,12
49,almost inconceivable pupils,12
2012,speaks rjcurran2 scotland,12
262,city leaders drive,12
411,could return coronavirus,12
503,deputy first minister,12
1006,leaders drive green,12
945,it almost inconceivable,12
2475,would create risk,12
1926,see possible scotgov,12
959,johnswinney speaks rjcurran2,12
1564,remove motor traffic,12
1909,second wave dominic,12
1200,near shops schools,12
2395,wave dominic raab,12
809,green recovery covid,12
1816,schools parks safe,12
810,green spaces cycle,12
2445,work summer schools,12
1619,reopening schools would,12
1895,scotland schools could,12
106,back summer holidays,12
1368,pavements near shops,12
1892,scotgov deputy first,12
204,causing second wave,12
2056,streets extend pavements,12
371,coronavirus pandemic scotresponse,12
1890,scooter green spaces,12
1549,recovery covid remove,12
2249,traffic residential streets,12
465,cycle routes work,12
524,disadvantaged children catch,11
231,children catch following,11
2087,summer schools essential,11
1988,social distancing schools,11
719,following school closures,11
1786,schools essential helping,11
200,catch following school,11
637,essential helping disadvantaged,11
851,helping disadvantaged children,11
2155,teachers time work,10
1766,schools chinas hubei,10
724,forces parentkind sending,10
2131,task force replaced,10
1371,paying teachers time,10
391,coronavirus task force,10
723,force replaced morning,10
62,announces white house,10
858,highest death toll,10
1742,school closures according,10
1074,lockdown professor resigns,10
2422,white house coronavirus,10
1939,sending letter education,10
765,gavinwilliamson urging caution,10
1618,reopening schools via,10
256,chinas hubei province,10
2262,trump announces white,10
962,joined forces parentkind,10
887,house coronavirus task,10
485,death toll us,10
1594,reopen top uk,10
2278,uk lockdown professor,10
2279,uk may return,10
2329,urging caution reopening,10
121,begin reopen top,10
1906,second highest death,10
2288,uk worlds second,10
1913,secretary gavinwilliamson urging,10
1031,letter education secretary,10
1465,professor resigns trump,10
596,education secretary gavinwilliamson,10
207,caution reopening schools,10
1622,replaced morning update,10
2338,us schools chinas,10
1222,neunion joined forces,10
1659,return september hancock,10
1347,parentkind sending letter,10
1632,resigns trump announces,10
1943,september hancock warns,10
2216,time work summer,10
1126,may return september,10
287,closures according teachfirst,10
1481,province begin reopen,10
2234,toll us schools,10
1874,schools via specktator100,10
